timestamp,tanggal,jam,frame,puncak_ombak_y,status_ombak,jumlah_garis_terdeteksi,extreme_count,alert_sent
2025-10-02T13:10:03.431663,2025-10-02 13:10:03,13:10:03,0,291,Tenang,6,0,False
2025-10-02T13:10:03.563555,2025-10-02 13:10:03,13:10:03,0,404,Tenang,5,0,False
2025-10-02T13:10:03.687023,2025-10-02 13:10:03,13:10:03,0,404,Tenang,6,0,False
2025-10-02T13:10:03.810844,2025-10-02 13:10:03,13:10:03,0,405,Tenang,4,0,False
2025-10-02T13:10:03.933968,2025-10-02 13:10:03,13:10:03,0,403,Tenang,5,0,False
2025-10-02T13:10:04.058922,2025-10-02 13:10:04,13:10:04,0,404,Tenang,5,0,False
2025-10-02T13:10:04.183204,2025-10-02 13:10:04,13:10:04,0,404,Tenang,5,0,False
2025-10-02T13:10:04.311077,2025-10-02 13:10:04,13:10:04,0,406,Tenang,4,0,False
2025-10-02T13:10:04.431453,2025-10-02 13:10:04,13:10:04,0,406,Tenang,3,0,False
2025-10-02T13:10:04.558763,2025-10-02 13:10:04,13:10:04,0,403,Tenang,5,0,False
2025-10-02T13:10:04.681601,2025-10-02 13:10:04,13:10:04,0,402,Tenang,4,0,False
2025-10-02T13:10:04.805609,2025-10-02 13:10:04,13:10:04,0,290,Tenang,4,0,False
2025-10-02T13:10:04.927276,2025-10-02 13:10:04,13:10:04,0,402,Tenang,3,0,False
2025-10-02T13:10:05.052380,2025-10-02 13:10:05,13:10:05,0,404,Tenang,4,0,False
2025-10-02T13:10:05.177609,2025-10-02 13:10:05,13:10:05,0,403,Tenang,4,0,False
2025-10-02T13:10:05.298762,2025-10-02 13:10:05,13:10:05,0,402,Tenang,4,0,False
2025-10-02T13:10:05.425525,2025-10-02 13:10:05,13:10:05,0,403,Tenang,4,0,False
2025-10-02T13:10:05.547688,2025-10-02 13:10:05,13:10:05,0,403,Tenang,5,0,False
2025-10-02T13:10:05.673638,2025-10-02 13:10:05,13:10:05,0,403,Tenang,5,0,False
2025-10-02T13:10:05.799346,2025-10-02 13:10:05,13:10:05,0,403,Tenang,6,0,False
2025-10-02T13:10:05.921932,2025-10-02 13:10:05,13:10:05,0,403,Tenang,6,0,False
2025-10-02T13:10:06.043898,2025-10-02 13:10:06,13:10:06,0,402,Tenang,4,0,False
2025-10-02T13:10:06.171681,2025-10-02 13:10:06,13:10:06,0,404,Tenang,3,0,False
2025-10-02T13:10:06.297095,2025-10-02 13:10:06,13:10:06,0,401,Tenang,6,0,False
2025-10-02T13:10:06.423374,2025-10-02 13:10:06,13:10:06,0,290,Tenang,6,0,False
2025-10-02T13:10:06.544604,2025-10-02 13:10:06,13:10:06,0,401,Tenang,5,0,False
2025-10-02T13:10:06.669752,2025-10-02 13:10:06,13:10:06,0,400,Tenang,6,0,False
2025-10-02T13:10:06.793903,2025-10-02 13:10:06,13:10:06,0,400,Tenang,5,0,False
2025-10-02T13:10:06.920035,2025-10-02 13:10:06,13:10:06,0,399,Tenang,5,0,False
2025-10-02T13:10:07.045479,2025-10-02 13:10:07,13:10:07,0,398,Tenang,4,0,False
2025-10-02T13:10:07.164839,2025-10-02 13:10:07,13:10:07,0,398,Tenang,5,0,False
2025-10-02T13:10:07.288812,2025-10-02 13:10:07,13:10:07,0,286,Tenang,7,0,False
2025-10-02T13:10:07.410913,2025-10-02 13:10:07,13:10:07,0,397,Tenang,4,0,False
2025-10-02T13:10:07.540393,2025-10-02 13:10:07,13:10:07,0,397,Tenang,5,0,False
2025-10-02T13:10:07.665394,2025-10-02 13:10:07,13:10:07,0,396,Tenang,4,0,False
2025-10-02T13:10:07.781817,2025-10-02 13:10:07,13:10:07,0,396,Tenang,4,0,False
2025-10-02T13:10:07.901468,2025-10-02 13:10:07,13:10:07,0,287,Tenang,6,0,False
2025-10-02T13:10:08.013521,2025-10-02 13:10:08,13:10:08,0,287,Tenang,6,0,False
2025-10-02T13:10:08.130073,2025-10-02 13:10:08,13:10:08,0,287,Tenang,7,0,False
2025-10-02T13:10:08.246773,2025-10-02 13:10:08,13:10:08,0,398,Tenang,4,0,False
2025-10-02T13:10:08.384249,2025-10-02 13:10:08,13:10:08,0,395,Tenang,5,0,False
2025-10-02T13:10:08.499576,2025-10-02 13:10:08,13:10:08,0,394,Tenang,4,0,False
2025-10-02T13:10:08.621579,2025-10-02 13:10:08,13:10:08,0,395,Tenang,5,0,False
2025-10-02T13:10:08.752039,2025-10-02 13:10:08,13:10:08,0,395,Tenang,5,0,False
2025-10-02T13:10:08.870439,2025-10-02 13:10:08,13:10:08,0,394,Tenang,6,0,False
2025-10-02T13:10:08.987957,2025-10-02 13:10:08,13:10:08,0,395,Tenang,5,0,False
2025-10-02T13:10:09.114317,2025-10-02 13:10:09,13:10:09,0,395,Tenang,4,0,False
2025-10-02T13:10:09.231121,2025-10-02 13:10:09,13:10:09,0,395,Tenang,4,0,False
2025-10-02T13:10:09.355405,2025-10-02 13:10:09,13:10:09,0,394,Tenang,4,0,False
2025-10-02T13:10:09.470982,2025-10-02 13:10:09,13:10:09,0,287,Tenang,7,0,False
2025-10-02T13:10:09.593796,2025-10-02 13:10:09,13:10:09,0,395,Tenang,4,0,False
2025-10-02T13:10:09.721440,2025-10-02 13:10:09,13:10:09,0,295,Tenang,7,0,False
2025-10-02T13:10:09.842568,2025-10-02 13:10:09,13:10:09,0,395,Tenang,4,0,False
2025-10-02T13:10:09.967491,2025-10-02 13:10:09,13:10:09,0,290,Tenang,6,0,False
2025-10-02T13:10:10.094802,2025-10-02 13:10:10,13:10:10,0,288,Tenang,5,0,False
2025-10-02T13:10:10.220813,2025-10-02 13:10:10,13:10:10,0,290,Tenang,7,0,False
2025-10-02T13:10:10.344418,2025-10-02 13:10:10,13:10:10,0,289,Tenang,9,0,False
2025-10-02T13:10:10.468439,2025-10-02 13:10:10,13:10:10,0,288,Tenang,9,0,False
2025-10-02T13:10:10.596662,2025-10-02 13:10:10,13:10:10,0,288,Tenang,10,0,False
2025-10-02T13:10:10.720007,2025-10-02 13:10:10,13:10:10,0,290,Tenang,10,0,False
2025-10-02T13:10:10.843477,2025-10-02 13:10:10,13:10:10,0,291,Tenang,6,0,False
2025-10-02T13:10:10.967521,2025-10-02 13:10:10,13:10:10,0,297,Tenang,9,0,False
2025-10-02T13:10:11.092771,2025-10-02 13:10:11,13:10:11,0,289,Tenang,10,0,False
2025-10-02T13:10:11.216360,2025-10-02 13:10:11,13:10:11,0,289,Tenang,13,0,False
2025-10-02T13:10:11.342171,2025-10-02 13:10:11,13:10:11,0,289,Tenang,13,0,False
2025-10-02T13:10:11.462635,2025-10-02 13:10:11,13:10:11,0,289,Tenang,9,0,False
2025-10-02T13:10:11.578725,2025-10-02 13:10:11,13:10:11,0,287,Tenang,14,0,False
2025-10-02T13:10:11.702206,2025-10-02 13:10:11,13:10:11,0,289,Tenang,20,0,False
2025-10-02T13:10:11.825615,2025-10-02 13:10:11,13:10:11,0,290,Tenang,11,0,False
2025-10-02T13:10:11.947585,2025-10-02 13:10:11,13:10:11,0,288,Tenang,17,0,False
2025-10-02T13:10:12.064699,2025-10-02 13:10:12,13:10:12,0,290,Tenang,11,0,False
2025-10-02T13:10:12.180126,2025-10-02 13:10:12,13:10:12,0,292,Tenang,8,0,False
2025-10-02T13:10:12.298128,2025-10-02 13:10:12,13:10:12,0,292,Tenang,12,0,False
2025-10-02T13:10:12.417376,2025-10-02 13:10:12,13:10:12,0,292,Tenang,18,0,False
2025-10-02T13:10:12.533519,2025-10-02 13:10:12,13:10:12,0,291,Tenang,15,0,False
2025-10-02T13:10:12.660944,2025-10-02 13:10:12,13:10:12,0,291,Tenang,12,0,False
2025-10-02T13:10:12.790207,2025-10-02 13:10:12,13:10:12,0,291,Tenang,11,0,False
2025-10-02T13:10:12.921772,2025-10-02 13:10:12,13:10:12,0,290,Tenang,14,0,False
2025-10-02T13:10:13.048299,2025-10-02 13:10:13,13:10:13,0,291,Tenang,14,0,False
2025-10-02T13:10:13.172358,2025-10-02 13:10:13,13:10:13,0,291,Tenang,15,0,False
2025-10-02T13:10:13.296620,2025-10-02 13:10:13,13:10:13,0,291,Tenang,10,0,False
2025-10-02T13:10:13.413233,2025-10-02 13:10:13,13:10:13,0,296,Tenang,12,0,False
2025-10-02T13:10:13.530563,2025-10-02 13:10:13,13:10:13,0,296,Tenang,7,0,False
2025-10-02T13:10:13.655605,2025-10-02 13:10:13,13:10:13,0,296,Tenang,11,0,False
2025-10-02T13:10:13.767427,2025-10-02 13:10:13,13:10:13,0,295,Tenang,9,0,False
2025-10-02T13:10:13.891024,2025-10-02 13:10:13,13:10:13,0,295,Tenang,11,0,False
2025-10-02T13:10:14.008930,2025-10-02 13:10:14,13:10:14,0,295,Tenang,10,0,False
2025-10-02T13:10:14.131912,2025-10-02 13:10:14,13:10:14,0,294,Tenang,9,0,False
2025-10-02T13:10:14.244806,2025-10-02 13:10:14,13:10:14,0,293,Tenang,9,0,False
2025-10-02T13:10:14.360722,2025-10-02 13:10:14,13:10:14,0,294,Tenang,8,0,False
2025-10-02T13:10:14.472376,2025-10-02 13:10:14,13:10:14,0,293,Tenang,10,0,False
2025-10-02T13:10:14.589748,2025-10-02 13:10:14,13:10:14,0,295,Tenang,13,0,False
2025-10-02T13:10:14.701005,2025-10-02 13:10:14,13:10:14,0,293,Tenang,11,0,False
2025-10-02T13:10:14.817547,2025-10-02 13:10:14,13:10:14,0,292,Tenang,10,0,False
2025-10-02T13:10:14.929128,2025-10-02 13:10:14,13:10:14,0,293,Tenang,13,0,False
2025-10-02T13:10:15.046542,2025-10-02 13:10:15,13:10:15,0,303,Tenang,9,0,False
2025-10-02T13:10:15.173285,2025-10-02 13:10:15,13:10:15,0,295,Tenang,13,0,False
2025-10-02T13:10:15.295381,2025-10-02 13:10:15,13:10:15,0,298,Tenang,7,0,False
2025-10-02T13:10:15.420127,2025-10-02 13:10:15,13:10:15,0,297,Tenang,7,0,False
2025-10-02T13:10:15.545639,2025-10-02 13:10:15,13:10:15,0,294,Tenang,7,0,False
2025-10-02T13:10:15.668783,2025-10-02 13:10:15,13:10:15,0,305,Tenang,4,0,False
2025-10-02T13:10:15.794858,2025-10-02 13:10:15,13:10:15,0,303,Tenang,6,0,False
2025-10-02T13:10:15.917994,2025-10-02 13:10:15,13:10:15,0,293,Tenang,4,0,False
2025-10-02T13:10:16.041809,2025-10-02 13:10:16,13:10:16,0,304,Tenang,4,0,False
2025-10-02T13:10:16.166339,2025-10-02 13:10:16,13:10:16,0,294,Tenang,6,0,False
2025-10-02T13:10:16.291383,2025-10-02 13:10:16,13:10:16,0,294,Tenang,7,0,False
2025-10-02T13:10:16.416721,2025-10-02 13:10:16,13:10:16,0,294,Tenang,5,0,False
2025-10-02T13:10:16.542594,2025-10-02 13:10:16,13:10:16,0,298,Tenang,6,0,False
2025-10-02T13:10:16.665765,2025-10-02 13:10:16,13:10:16,0,298,Tenang,7,0,False
2025-10-02T13:10:16.791942,2025-10-02 13:10:16,13:10:16,0,294,Tenang,4,0,False
2025-10-02T13:10:16.914107,2025-10-02 13:10:16,13:10:16,0,294,Tenang,7,0,False
2025-10-02T13:10:17.041433,2025-10-02 13:10:17,13:10:17,0,295,Tenang,4,0,False
2025-10-02T13:10:17.166817,2025-10-02 13:10:17,13:10:17,0,295,Tenang,5,0,False
2025-10-02T13:10:17.290980,2025-10-02 13:10:17,13:10:17,0,295,Tenang,5,0,False
2025-10-02T13:10:17.417290,2025-10-02 13:10:17,13:10:17,0,297,Tenang,5,0,False
2025-10-02T13:10:17.539383,2025-10-02 13:10:17,13:10:17,0,296,Tenang,5,0,False
2025-10-02T13:10:17.661879,2025-10-02 13:10:17,13:10:17,0,343,Tenang,8,0,False
2025-10-02T13:10:17.785558,2025-10-02 13:10:17,13:10:17,0,343,Tenang,7,0,False
2025-10-02T13:10:17.908246,2025-10-02 13:10:17,13:10:17,0,343,Tenang,7,0,False
2025-10-02T13:10:18.026511,2025-10-02 13:10:18,13:10:18,0,298,Tenang,9,0,False
2025-10-02T13:10:18.152606,2025-10-02 13:10:18,13:10:18,0,298,Tenang,13,0,False
2025-10-02T13:10:18.272345,2025-10-02 13:10:18,13:10:18,0,306,Tenang,6,0,False
2025-10-02T13:10:18.397986,2025-10-02 13:10:18,13:10:18,0,376,Tenang,5,0,False
2025-10-02T13:10:18.523627,2025-10-02 13:10:18,13:10:18,0,311,Tenang,6,0,False
2025-10-02T13:10:18.649597,2025-10-02 13:10:18,13:10:18,0,306,Tenang,7,0,False
2025-10-02T13:10:18.769075,2025-10-02 13:10:18,13:10:18,0,307,Tenang,6,0,False
2025-10-02T13:10:18.885050,2025-10-02 13:10:18,13:10:18,0,304,Tenang,7,0,False
2025-10-02T13:10:19.009733,2025-10-02 13:10:19,13:10:19,0,302,Tenang,6,0,False
2025-10-02T13:10:19.140922,2025-10-02 13:10:19,13:10:19,0,305,Tenang,6,0,False
2025-10-02T13:10:19.269438,2025-10-02 13:10:19,13:10:19,0,298,Tenang,6,0,False
2025-10-02T13:10:19.397501,2025-10-02 13:10:19,13:10:19,0,298,Tenang,5,0,False
2025-10-02T13:10:19.523856,2025-10-02 13:10:19,13:10:19,0,305,Tenang,6,0,False
2025-10-02T13:10:19.652523,2025-10-02 13:10:19,13:10:19,0,306,Tenang,6,0,False
2025-10-02T13:10:19.771374,2025-10-02 13:10:19,13:10:19,0,305,Tenang,6,0,False
2025-10-02T13:10:19.890573,2025-10-02 13:10:19,13:10:19,0,303,Tenang,8,0,False
2025-10-02T13:10:20.010362,2025-10-02 13:10:20,13:10:20,0,303,Tenang,5,0,False
2025-10-02T13:10:20.124182,2025-10-02 13:10:20,13:10:20,0,303,Tenang,6,0,False
2025-10-02T13:10:20.240869,2025-10-02 13:10:20,13:10:20,0,308,Tenang,3,0,False
2025-10-02T13:10:20.358800,2025-10-02 13:10:20,13:10:20,0,308,Tenang,4,0,False
2025-10-02T13:10:20.484109,2025-10-02 13:10:20,13:10:20,0,307,Tenang,3,0,False
2025-10-02T13:10:20.610408,2025-10-02 13:10:20,13:10:20,0,307,Tenang,4,0,False
2025-10-02T13:10:20.738893,2025-10-02 13:10:20,13:10:20,0,307,Tenang,7,0,False
2025-10-02T13:10:20.865651,2025-10-02 13:10:20,13:10:20,0,303,Tenang,7,0,False
2025-10-02T13:10:20.990364,2025-10-02 13:10:20,13:10:20,0,302,Tenang,6,0,False
2025-10-02T13:10:21.105470,2025-10-02 13:10:21,13:10:21,0,303,Tenang,8,0,False
2025-10-02T13:10:21.225959,2025-10-02 13:10:21,13:10:21,0,302,Tenang,5,0,False
2025-10-02T13:10:21.341861,2025-10-02 13:10:21,13:10:21,0,302,Tenang,4,0,False
2025-10-02T13:10:21.453884,2025-10-02 13:10:21,13:10:21,0,306,Tenang,4,0,False
2025-10-02T13:10:21.583242,2025-10-02 13:10:21,13:10:21,0,305,Tenang,5,0,False
2025-10-02T13:10:21.704233,2025-10-02 13:10:21,13:10:21,0,304,Tenang,5,0,False
2025-10-02T13:10:21.818612,2025-10-02 13:10:21,13:10:21,0,398,Tenang,1,0,False
2025-10-02T13:10:21.933108,2025-10-02 13:10:21,13:10:21,0,306,Tenang,4,0,False
2025-10-02T13:10:22.049932,2025-10-02 13:10:22,13:10:22,0,307,Tenang,4,0,False
2025-10-02T13:10:22.180962,2025-10-02 13:10:22,13:10:22,0,305,Tenang,5,0,False
2025-10-02T13:10:22.312267,2025-10-02 13:10:22,13:10:22,0,307,Tenang,5,0,False
2025-10-02T13:10:22.436442,2025-10-02 13:10:22,13:10:22,0,307,Tenang,4,0,False
2025-10-02T13:10:22.564111,2025-10-02 13:10:22,13:10:22,0,307,Tenang,5,0,False
2025-10-02T13:10:22.678423,2025-10-02 13:10:22,13:10:22,0,306,Tenang,4,0,False
2025-10-02T13:10:22.803909,2025-10-02 13:10:22,13:10:22,0,304,Tenang,4,0,False
2025-10-02T13:10:22.933779,2025-10-02 13:10:22,13:10:22,0,307,Tenang,4,0,False
2025-10-02T13:10:23.059133,2025-10-02 13:10:23,13:10:23,0,307,Tenang,4,0,False
2025-10-02T13:10:23.183777,2025-10-02 13:10:23,13:10:23,0,306,Tenang,2,0,False
2025-10-02T13:10:23.300453,2025-10-02 13:10:23,13:10:23,0,306,Tenang,3,0,False
2025-10-02T13:10:23.426641,2025-10-02 13:10:23,13:10:23,0,306,Tenang,2,0,False
2025-10-02T13:10:23.550431,2025-10-02 13:10:23,13:10:23,0,305,Tenang,5,0,False
2025-10-02T13:10:23.678632,2025-10-02 13:10:23,13:10:23,0,307,Tenang,6,0,False
2025-10-02T13:10:23.799625,2025-10-02 13:10:23,13:10:23,0,301,Tenang,6,0,False
2025-10-02T13:10:23.923000,2025-10-02 13:10:23,13:10:23,0,308,Tenang,3,0,False
2025-10-02T13:10:24.049044,2025-10-02 13:10:24,13:10:24,0,304,Tenang,3,0,False
2025-10-02T13:10:24.173712,2025-10-02 13:10:24,13:10:24,0,306,Tenang,5,0,False
2025-10-02T13:10:24.298503,2025-10-02 13:10:24,13:10:24,0,305,Tenang,4,0,False
2025-10-02T13:10:24.423778,2025-10-02 13:10:24,13:10:24,0,306,Tenang,8,0,False
2025-10-02T13:10:24.546533,2025-10-02 13:10:24,13:10:24,0,306,Tenang,7,0,False
2025-10-02T13:10:24.671682,2025-10-02 13:10:24,13:10:24,0,305,Tenang,11,0,False
2025-10-02T13:10:24.794359,2025-10-02 13:10:24,13:10:24,0,306,Tenang,6,0,False
2025-10-02T13:10:24.922457,2025-10-02 13:10:24,13:10:24,0,307,Tenang,9,0,False
2025-10-02T13:10:25.046329,2025-10-02 13:10:25,13:10:25,0,309,Tenang,6,0,False
2025-10-02T13:10:25.175471,2025-10-02 13:10:25,13:10:25,0,311,Tenang,4,0,False
2025-10-02T13:10:25.297089,2025-10-02 13:10:25,13:10:25,0,307,Tenang,4,0,False
2025-10-02T13:10:25.423277,2025-10-02 13:10:25,13:10:25,0,307,Tenang,8,0,False
2025-10-02T13:10:25.536556,2025-10-02 13:10:25,13:10:25,0,308,Tenang,5,0,False
2025-10-02T13:10:25.657057,2025-10-02 13:10:25,13:10:25,0,308,Tenang,6,0,False
2025-10-02T13:10:25.768423,2025-10-02 13:10:25,13:10:25,0,309,Tenang,5,0,False
2025-10-02T13:10:25.884288,2025-10-02 13:10:25,13:10:25,0,309,Tenang,6,0,False
2025-10-02T13:10:26.009971,2025-10-02 13:10:26,13:10:26,0,310,Tenang,4,0,False
2025-10-02T13:10:26.129660,2025-10-02 13:10:26,13:10:26,0,311,Tenang,6,0,False
2025-10-02T13:10:26.246384,2025-10-02 13:10:26,13:10:26,0,311,Tenang,4,0,False
2025-10-02T13:10:26.360928,2025-10-02 13:10:26,13:10:26,0,393,Tenang,4,0,False
2025-10-02T13:10:26.479113,2025-10-02 13:10:26,13:10:26,0,305,Tenang,3,0,False
2025-10-02T13:10:26.596525,2025-10-02 13:10:26,13:10:26,0,306,Tenang,4,0,False
2025-10-02T13:10:26.707600,2025-10-02 13:10:26,13:10:26,0,308,Tenang,6,0,False
2025-10-02T13:10:26.827283,2025-10-02 13:10:26,13:10:26,0,305,Tenang,8,0,False
2025-10-02T13:10:26.943141,2025-10-02 13:10:26,13:10:26,0,322,Tenang,5,0,False
2025-10-02T13:10:27.061102,2025-10-02 13:10:27,13:10:27,0,322,Tenang,6,0,False
2025-10-02T13:10:27.177362,2025-10-02 13:10:27,13:10:27,0,317,Tenang,6,0,False
2025-10-02T13:10:27.297809,2025-10-02 13:10:27,13:10:27,0,313,Tenang,7,0,False
2025-10-02T13:10:27.413247,2025-10-02 13:10:27,13:10:27,0,314,Tenang,3,0,False
2025-10-02T13:10:27.526468,2025-10-02 13:10:27,13:10:27,0,313,Tenang,4,0,False
2025-10-02T13:10:27.649140,2025-10-02 13:10:27,13:10:27,0,315,Tenang,4,0,False
2025-10-02T13:10:27.777743,2025-10-02 13:10:27,13:10:27,0,322,Tenang,4,0,False
2025-10-02T13:10:27.892689,2025-10-02 13:10:27,13:10:27,0,322,Tenang,5,0,False
2025-10-02T13:10:28.027988,2025-10-02 13:10:28,13:10:28,0,322,Tenang,3,0,False
2025-10-02T13:10:28.155930,2025-10-02 13:10:28,13:10:28,0,330,Tenang,3,0,False
2025-10-02T13:10:28.282980,2025-10-02 13:10:28,13:10:28,0,331,Tenang,1,0,False
